,$,(,),*,+,-,/,num,E,F,T
0,,S4,,,,,,S5,S1,S3,S2
1,Accept,,,,S6,S7,,,,,
2,E->T,,,S8,E->T,E->T,S9,,,,
3,T->F,,,T->F,T->F,T->F,T->F,,,,
4,,S13,,,,,,S14,S10,S12,S11
5,F->num,,,F->num,F->num,F->num,F->num,,,,
6,,S4,,,,,,S5,,S3,S15
7,,S4,,,,,,S5,,S3,S16
8,,S4,,,,,,S5,,S17,
9,,S4,,,,,,S5,,S18,
10,,,S19,,S20,S21,,,,,
11,,,E->T,S22,E->T,E->T,S23,,,,
12,,,T->F,T->F,T->F,T->F,T->F,,,,
13,,S13,,,,,,S14,S24,S12,S11
14,,,F->num,F->num,F->num,F->num,F->num,,,,
15,E->E+T,,,S8,E->E+T,E->E+T,S9,,,,
16,E->E-T,,,S8,E->E-T,E->E-T,S9,,,,
17,T->T*F,,,T->T*F,T->T*F,T->T*F,T->T*F,,,,
18,T->T/F,,,T->T/F,T->T/F,T->T/F,T->T/F,,,,
19,F->(E),,,F->(E),F->(E),F->(E),F->(E),,,,
20,,S13,,,,,,S14,,S12,S25
21,,S13,,,,,,S14,,S12,S26
22,,S13,,,,,,S14,,S27,
23,,S13,,,,,,S14,,S28,
24,,,S29,,S20,S21,,,,,
25,,,E->E+T,S22,E->E+T,E->E+T,S23,,,,
26,,,E->E-T,S22,E->E-T,E->E-T,S23,,,,
27,,,T->T*F,T->T*F,T->T*F,T->T*F,T->T*F,,,,
28,,,T->T/F,T->T/F,T->T/F,T->T/F,T->T/F,,,,
29,,,F->(E),F->(E),F->(E),F->(E),F->(E),,,,
